vase_prct_1,vase_prct_2,vase_prct_3,vase_prct_4
1,0.0943522748312714,0.198976852675004,0.314141148074684
2,0.123913635782896,0.246097403832776,0.460360077399565
3,0.143686340114021,0.284595631990183,0.568764081963281
4,0.170836721602008,0.318208986267013,0.623315442622905
5,0.189450901438408,0.371065706067355,0.672256687966299
6,0.203189088231487,0.417793170225611,0.705848910075277
7,0.215029742015747,0.476034018464126,0.794685512828432
8,0.234272910833013,0.502942895915998,0.815862850814038
9,0.243465579923198,0.541079344868092,0.84874946253604
10,0.263033541189029,0.556577913211405,0.887229588104358
11,0.26852118548707,0.56228597528359,0.878648298570343
12,0.280794089404574,0.573788710253951,0.929312538223793
13,0.282833367460896,0.600308959398434,0.947144884085767
14,0.294156522968465,0.626247054968934,0.954837966713954
15,0.299140645173326,0.63780015995753,0.978833754864678
16,0.315204887370793,0.647649605836754,0.980550101819725
17,0.314122719469455,0.658103848318512,0.984249560866623
18,0.335122386215983,0.694110986030911,1.00295336339619
19,0.346717447470441,0.699027241551114,1.01657641305713
20,0.35661374215448,0.701736362246288,1.04677673093205
21,0.367184390942498,0.71630541227187,1.07241821932804
22,0.363759916637463,0.734114656604131,1.08487360250214
23,0.385260746597223,0.760951745934529,1.09243957022138
24,0.389428112942979,0.758951540950062,1.10115819380662
25,0.401288809771475,0.760682154753397,1.11395394971044
26,0.417990083943358,0.773662020979347,1.11550806056698
27,0.420971141248502,0.782416766149153,1.11644942038197
28,0.414748470763565,0.787449394593586,1.1309766315744
29,0.424349582177343,0.800064396000396,1.15447868239768
30,0.424475490685021,0.810684605713313,1.1621342362532
31,0.434876901093587,0.815647092892576,1.17414318780743
32,0.429566347225677,0.813333568589956,1.18063111901869
33,0.432181329476183,0.822712884717394,1.20093488172273
34,0.440835030818776,0.820120692969793,1.23650290885216
35,0.444726669637762,0.825455234889554,1.26118915638798
36,0.444457146292934,0.834161263926361,1.2566389996378
37,0.438447743226245,0.820956596258164,1.2337590954204
38,0.440803802750839,0.819207660234645,1.23067145818721
39,0.43154921166439,0.819952421839166,1.22367673077772
40,0.45152499500962,0.821262535288136,1.25561035376321
41,0.452909828963643,0.820242821277041,1.24932749194381
42,0.45017528259116,0.836252691971791,1.24912652704335
43,0.450528428684025,0.852865774659953,1.26913363037109
44,0.449754967119533,0.868721835322421,1.28336284373708
45,0.461823839503824,0.87344913163881,1.32877103026949
46,0.456213866717246,0.874822490894026,1.3174879799066
47,0.463765887483289,0.881826842900054,1.30701228858462
48,0.469347649312352,0.891775360622314,1.30105724274212
49,0.476023879769102,0.90223255635469,1.3158950494243
50,0.471352780582426,0.897250563807324,1.33194852312769
51,0.481112087146109,0.894903533822162,1.33473453199749
52,0.481284663626528,0.896360920714865,1.34614824412561
53,0.487467587749065,0.902251609724396,1.35377872572264
54,0.499851101867604,0.916303525287414,1.35855723186833
55,0.494986046800004,0.929863193381661,1.37880716811339
56,0.494787829328324,0.938650746161543,1.38521612987403
57,0.491358444029829,0.931163266932586,1.36784138379247
58,0.499723448826121,0.93896338617697,1.3790391501877
59,0.499648095634118,0.950498245971635,1.40834161894947
60,0.51174289521227,0.942420167572048,1.40503237309935
61,0.50066949445926,0.942178393287441,1.40161943048756
62,0.504205105746843,0.949029137582431,1.40483291684669
63,0.511687930877212,0.958282217944092,1.4079939266347
64,0.513190374304517,0.964637238712603,1.42963214460664
65,0.529310379072058,0.962766491121003,1.42556980720013
66,0.520781590334098,0.968877640273676,1.43829438968355
67,0.519765318584585,0.975112917221013,1.43651732418999
68,0.519215090665693,0.974681610317149,1.43615584389095
69,0.525305238020637,0.974921773208209,1.42786996992812
70,0.52415967348029,0.984749941838096,1.42436714276734
71,0.52939189049997,0.984510862277428,1.42923978529613
72,0.531727140175423,0.991211870348215,1.4429321995947
73,0.543125202384054,0.994496568258283,1.45635279717179
74,0.531601806805972,0.989161699619177,1.46895435540269
75,0.530674363927198,0.98968111569134,1.45382405626937
76,0.54007222124046,0.987085475790738,1.44380058665699
77,0.544771106507186,0.993253053780879,1.45601053238247
78,0.539069644588242,0.994082147840838,1.45387778237687
79,0.529333762045497,0.995803448083168,1.46200437509633
80,0.542341000472555,0.991339229211898,1.47517245171474
81,0.542979495682097,0.998033596044772,1.49635032382398
82,0.542504536445416,0.997667297560101,1.4883009171763
83,0.55082928501598,1.00408154937529,1.49747880666076
84,0.553565568473823,1.00832655820603,1.49881737102216
85,0.555970276640123,1.00732197570404,1.48816931509817
86,0.550422207123729,1.01266549565805,1.48584771262335
87,0.554418859679671,1.00707146356085,1.48537173048732
88,0.564775826160294,1.00948007806473,1.47661635771217
89,0.556201639700672,1.01799699155918,1.4617513832083
90,0.5608793826153,1.01842049279667,1.4741135358103
91,0.565888571841059,1.01891703316197,1.48206738760591
